,close,high,low
2025-04-14,84530.7,85792.1,83708.2
2025-04-15,83633.5,86401.0,83600.0
2025-04-16,84023.8,85419.7,83146.0
2025-04-17,84910.1,85444.0,83777.2
2025-04-18,84472.5,85087.9,84295.4
2025-04-19,85121.3,85611.7,84384.6
2025-04-20,85150.1,85309.2,84007.4
2025-04-21,87500.6,88490.0,85150.0
2025-04-22,93472.0,93888.0,87100.0
2025-04-23,93677.0,94635.1,91949.5
2025-04-24,93999.9,94000.0,91711.0
2025-04-25,94717.1,95837.7,92900.0
2025-04-26,94663.5,95189.5,93907.5
2025-04-27,93817.0,95348.5,93621.5
2025-04-28,94998.1,95600.0,92900.0
2025-04-29,94269.6,95469.2,93809.5
2025-04-30,94205.4,95195.0,92970.5
2025-05-01,96469.9,97407.8,94148.3
2025-05-02,96920.7,97885.0,96386.7
2025-05-03,95869.9,96922.3,95785.9
2025-05-04,94303.1,96298.0,94153.2
2025-05-05,94727.0,95173.9,93570.1
2025-05-06,96816.7,96877.8,93398.5
2025-05-07,97031.4,97650.0,95824.0
2025-05-08,103228.0,104082.5,96874.9
2025-05-09,102976.9,104319.1,102344.7
2025-05-10,104800.0,104943.7,102833.3
2025-05-11,104119.0,104919.7,103326.8
2025-05-12,102825.0,105728.8,100772.6
2025-05-13,104156.7,104980.0,101525.1
2025-05-14,103589.7,104280.1,102591.5
2025-05-15,103761.7,104123.0,101441.6
2025-05-16,103500.1,104500.0,103130.0
2025-05-17,103169.1,103697.1,102690.0
2025-05-18,106525.6,106631.8,103148.2
2025-05-19,105637.7,107042.1,102100.0
2025-05-20,106855.6,107262.6,104269.0
2025-05-21,109675.1,110698.0,106155.0
2025-05-22,111711.1,111983.2,109287.2
2025-05-23,107333.5,111785.3,106824.0
2025-05-24,107824.2,109503.4,106905.8
2025-05-25,109040.4,109300.5,106672.9
2025-05-26,109468.6,110352.0,108780.0
2025-05-27,109004.9,110742.6,107600.0
2025-05-28,107811.7,109250.0,106805.1
2025-05-29,105632.4,108888.0,105348.4
2025-05-30,104019.7,106333.8,103641.3
2025-05-31,104662.0,104933.2,103169.0
2025-06-01,105712.4,105879.7,103850.0
2025-06-02,105920.3,105927.2,103737.7
2025-06-03,105446.0,106820.0,104984.1
2025-06-04,104745.4,106000.0,104279.0
2025-06-05,101579.7,105948.1,100400.0
2025-06-06,104376.0,105360.1,101211.5
2025-06-07,105654.5,105929.0,104000.1
2025-06-08,105754.2,106477.0,105082.3
2025-06-09,110280.0,110550.0,105392.3
2025-06-10,110273.6,110373.0,108342.2
2025-06-11,108702.0,110411.0,108139.5
2025-06-12,105760.1,108790.2,105760.0
2025-06-13,106122.3,106137.5,102812.3
2025-06-14,105479.4,106172.3,104400.0
2025-06-15,105581.4,106090.0,104529.0
2025-06-16,106800.1,108924.6,105019.3
2025-06-17,104622.4,107725.1,103400.0
2025-06-18,104892.0,105529.9,103567.6
2025-06-19,104675.2,105226.5,103931.6
2025-06-20,103292.0,106470.0,102388.9
2025-06-21,102144.0,103995.5,100933.5
2025-06-22,100987.9,103380.5,98277.2
2025-06-23,105382.0,106022.4,99700.0
2025-06-24,106100.0,106309.1,104777.0
2025-06-25,107360.0,108165.5,105888.2
2025-06-26,106945.0,108289.0,106677.4
2025-06-27,107115.4,107712.1,106477.2
2025-06-28,107325.1,107544.2,106918.4
2025-06-29,108387.2,108460.7,107228.2
2025-06-30,107120.3,108792.0,106800.0
2025-07-01,105700.1,107540.2,105312.0
2025-07-02,108846.9,109794.7,105116.4
2025-07-03,109631.0,110547.2,108600.0
2025-07-04,108018.9,109746.6,107299.9
2025-07-05,108249.5,108379.0,107829.7
2025-07-06,109223.2,109650.0,107825.2
2025-07-07,108282.1,109700.0,107520.3
2025-07-08,108931.9,109199.3,107500.0
2025-07-09,111323.7,112000.0,108375.3
2025-07-10,115990.2,116800.0,110600.0
2025-07-11,117532.6,118818.4,115212.5
2025-07-12,117461.0,118235.6,116977.1
2025-07-13,119102.1,119499.0,117277.3
